Frame,Origin_X_mm,Origin_Y_mm,Origin_Z_mm,Rotation_X_deg,Rotation_Y_deg,Rotation_Z_deg,PenTip_Global_X_mm,PenTip_Global_Y_mm,PenTip_Global_Z_mm
0,-7.828558502141789,-161.90361141651655,-42.72248847341473,37.2563641005954,-12.839571728015025,-179.31584276651017,0.0,0.0,0.0
1,-7.806291723480911,-160.90151377308266,-48.130712216808774,38.779581368025184,-10.947419342273994,179.9620631105698,-0.17288540412647535,1.9998011666188518,-9.34708889235992
2,-7.960165276357998,-161.2845305790426,-46.99881779026964,38.319465039460304,-11.622396339208235,-179.99825590709523,0.28008687227685414,1.2995416706583853,-7.026396866289588
3,-7.998923647772585,-161.01604434242898,-47.79363888994317,38.589166671506476,-10.637968760305748,-179.93014701765975,-0.7815072885215955,1.7670138498760934,-8.438059794334094
4,-13.571113826782494,-166.0613579360909,-27.585522584695923,36.311728043059155,-13.302888596760269,-179.45040848317333,-4.397675118350492,-4.911834143172825,17.646719708509863
5,-7.312023261227125,-160.03162486266547,-49.945646564214826,39.32594414030327,-9.888640046856576,-179.60654696566505,-1.8928646182127977,3.2850922809928704,-12.561701342862875
6,-5.810197422670569,-159.2234919048005,-53.72588539228104,39.01683297438798,-10.010982606721937,-179.8584649822967,0.5603300393811423,3.861270290463608,-15.48907774752206
7,-6.347869521942641,-159.97114650974737,-50.928435510357986,39.21861703557756,-9.746334267774794,-179.57339222552642,-1.0637897571126587,3.276996940265235,-13.22699123489383
8,-3.1172847041240175,-158.03742608748982,-58.15233990668628,39.381849114912676,-10.565703586486357,-179.86462983951057,3.4494545839757507,5.2911505999396695,-21.0049212659045
9,-5.272233162711984,-160.10742145203173,-50.446627081367296,38.46592267189684,-10.649303152856449,-179.62107352347562,1.14001525129828,2.6261619266063576,-10.748508104295183
10,-7.777383674086593,-162.84372519710178,-41.076034051677084,37.39134458799153,-11.241479055439012,-179.25049568876548,-1.4043090956958508,-0.845114177131336,1.5280817977509287
11,-4.209732093065838,-159.3782298370536,-53.319523932320294,39.06569863326006,-9.280500438663848,-179.68428092869578,1.1543394373359206,3.7553916356778245,-15.136739577309982
12,-4.200123955331094,-159.83100801572294,-52.22110430027158,38.947110160174134,-9.883326252816817,-179.77568644505453,1.8838107772627382,3.2152127209390358,-13.773836764669795
13,-4.0512657998782515,-159.70115245607,-52.45472704974861,39.2046996179071,-10.59453937933038,-179.82972329807754,2.5278138203431126,3.5140978033850274,-14.814661515969988
14,-4.475330059205362,-160.14563923402153,-51.670552094670484,38.6274649744446,-10.047895411931519,-179.58296840628236,1.3307243061896088,2.7018049028864652,-12.347830799271605
15,-4.702201582332179,-160.2094134127598,-51.70852186559796,38.88832447284281,-9.275739340917031,-179.37372295517585,-0.14293413924735887,2.8311822514262133,-13.027079478547194
16,-4.841569098291927,-160.29023619726624,-51.53154788881568,39.263584165220045,-9.189787237757368,-179.62805297813523,0.21108740042052432,2.9802543634010306,-13.895204898589213
17,-4.295076476820668,-160.11398608755763,-52.73182326086692,39.33614986367893,-10.086568250071629,-179.65802822756632,1.394790239096892,3.2052934666199064,-15.399329613209375
18,-5.504537676081952,-161.18420134239386,-52.25548333136396,37.17950611329636,-8.512423517929834,-179.9025364758349,0.7623702304900348,0.5663539115501521,-8.703669596178884
19,-3.984276931925592,-160.99478371216063,-52.99725900919043,38.34860861924522,-11.026933534541183,-178.22219533065388,-1.2190914907981778,1.773910744583418,-13.022484543082669
20,-6.93797266903789,-163.46661757800004,-44.32078944149566,37.877894103757534,-10.64641122219899,-178.9861390508474,-2.0159406816455316,-1.0896560813126541,-2.983485277928139
21,-7.3391148545453575,-163.97604201985303,-43.723068851261814,38.126819430878314,-10.49299137531268,-178.92707425672376,-2.8270007228542795,-1.4173777336257842,-3.0586097889165558
22,-5.541529656460284,-162.92912848043807,-51.366333880676734,36.943990572445394,-9.20227027733867,-179.272443106314,-0.4213615043306618,-1.2938157706567495,-7.240533008646935
23,-4.1772053322663965,-161.55851963548392,-56.83132985993848,38.02194710680381,-8.48487421129142,-179.9622498329715,1.8853410415742928,0.8152071733719595,-15.633088235313608
24,-5.284903073414625,-164.25824884618373,-50.406945680827334,37.44356282781804,-10.366868265068462,-178.52696417910911,-1.6366584866535732,-2.169990781302829,-7.823337940047054
25,-5.239698203980652,-165.94220305854947,-46.09437085860122,37.72017376939981,-14.53511369199925,-178.2602156547637,0.5244702267081607,-3.5443010438301883,-4.948623535054253
26,-2.757950055752076,-164.1367086901876,-57.05464529565563,37.85502119556645,-10.54340906391832,-177.40406785689999,-2.38248241965789,-1.705371342806501,-15.639715489021455
27,-0.9355368786117992,-162.47976297612504,-64.29419063460591,39.3776571886535,-9.9225276992881,-178.89832539108428,2.460590772149544,0.9255790682769316,-27.059297756760543
28,-2.5827391319357957,-164.3826323894651,-60.57785054612316,38.908526434208916,-9.501154511247982,-178.62624297169668,-0.00855050857404649,-1.2792061408305528,-21.97833451054987
29,-0.8458573020483868,-164.18163283039186,-65.21152635673536,38.275899484600394,-10.438811753940527,-178.02476638690632,0.9871040485849676,-1.4690335550242253,-24.955756223329445
30,-1.7351868348026187,-163.98732938965128,-65.28504806207127,40.43304229122617,-9.111587094972881,-179.35756512805239,1.9581199169338106,0.04284402511913754,-30.937727438028105
31,-0.7194838912109276,-163.71802432243797,-69.04355048508046,40.54305767137651,-8.695073164137375,-179.0971503592369,1.929801561810848,0.3890451475336647,-34.968225455681136
32,-1.8813642737730447,-166.25294372785888,-63.8535821779102,38.86504588373557,-10.310314794931783,-177.6934214939548,-1.395522563568818,-3.136147580537113,-25.227794007846796
33,0.243957875844103,-164.029685262325,-73.58683705139458,40.22971341246009,-7.213114794957191,-179.12443105990934,2.2039567389981585,-0.12663903875846927,-38.49799862113662
34,1.5074139210524322,-165.0163354327807,-74.13809412920602,39.249400822171246,-10.560194052797284,-177.87715113487064,2.474594237236488,-1.643580015410464,-36.61897781678431
35,-0.9711612596628925,-168.43603391682691,-67.1712776523716,37.06835249299727,-9.814526148176782,-176.90597735159744,-2.123927187434788,-6.608440747296157,-23.47027126847354
36,2.5664512011811667,-164.02569502130305,-80.91433616740335,41.52404728866768,-7.617076881524749,179.79493766878016,7.375416600515138,0.5692905651361002,-49.53534142759702
37,2.9916797311422556,-166.30531443789025,-79.91195754578303,39.36565045986594,-10.391235917974685,-177.99769594370943,4.129571160959614,-2.8638485346482128,-42.698127243243334
38,3.2007975336288155,-166.12938001354937,-83.13050687803275,40.87411231186744,-8.355230019346418,-178.7989288048502,4.65181925185297,-1.8214572298406893,-49.963086330619376
39,2.255198036411116,-168.32603814356958,-80.56419317879386,39.26945762071074,-8.682812159986213,-178.25852276811887,3.0684134776001883,-4.987724331352439,-42.89178071395713
40,3.113996536369143,-168.70809580824326,-83.45698187862479,38.94506777434121,-8.757175413811844,-177.87851103220714,3.041325406633746,-5.579213005972434,-44.87928036748235
41,4.65886606753665,-168.43749807390466,-87.73561111012145,39.733961153633956,-9.754355994581013,-177.98492409505593,5.160202826470709,-4.776889151559061,-51.48329410949259
42,4.865010683182675,-168.45679695590005,-93.14359670080023,38.49762037540828,-6.44357527000223,-177.93209425184943,3.537534097738387,-5.6887550428455995,-53.092640694755346
43,4.989216987637889,-170.11237331933106,-90.07974013737555,38.99574385174343,-8.983285387564267,-177.40950464195933,3.7092264596477094,-6.949262280112237,-51.66831528037892
44,3.720320113179355,-173.49377529541528,-83.30104963107635,37.184396084527805,-11.30346738435381,-176.4887080306452,2.4503373595892413,-11.524078742723788,-40.13299104920918
45,7.045538097576184,-169.29998468689965,-97.88082050090804,40.877307018348326,-8.050617800651578,-179.2786314718619,9.694448593695569,-5.010337049691145,-64.69691338136704
46,2.269353031385492,-175.4921271982086,-84.67418402065812,38.55084923461845,-5.647813542488051,-176.97438780874245,-2.3512293974841896,-12.761854150107098,-44.71438933898787
47,4.166361683287192,-174.86396171599756,-90.01346391291759,40.74684162951499,-5.565972288274877,-177.66419180457652,0.7831469039596755,-10.698916888827625,-56.28411980510646
48,7.706124474658765,-173.78117004732158,-98.99055388730278,39.99242196048243,-6.856730295106233,-177.64826131541687,5.311962448205037,-10.035436284987782,-63.20117833925951
49,9.69564992635651,-173.47439929763271,-105.97604778434788,39.47131937075463,-6.1512798637812445,-177.57677602444045,6.830000799876842,-10.078025943075403,-68.65728616294746
50,10.049358991481228,-174.4325650220506,-107.0345149435467,39.79068687036496,-6.42338083810829,-177.91089064098242,8.204239218450027,-10.812958862169069,-70.64087879103624
51,9.513689587979172,-176.55386302782682,-105.46158257936281,37.76633293333631,-6.060806949881218,-178.35985332849776,9.36781087564728,-14.309333222833487,-63.31934714920544
52,12.203901340687594,-175.51092662692633,-112.18510523703424,40.76547333072632,-7.217595929393465,-178.89153474490504,13.30148252403356,-11.28141802349188,-78.61814888538822
53,13.430765740785176,-177.04354458266798,-114.47597408298464,39.2994985726465,-8.086350747597992,-177.92849385333534,12.898148297689062,-13.697930944287634,-76.83020987167947
54,16.28050845600191,-176.55583995737481,-121.88352336455978,39.40906909553079,-8.613226289156756,-177.26104155043527,14.14049496847909,-13.140877039472542,-84.59750753949822
55,15.7745223956112,-178.1362982672811,-120.79283921226522,38.79895446612192,-7.309286713382714,-178.1663333437618,15.601192086784806,-15.138696034723722,-81.66448169071907
56,15.184488834171674,-179.13065861661025,-120.7959855800782,40.83222614058103,-5.182456462672219,-177.84851304285232,12.079751668662993,-14.914599194995958,-87.28892401892585
57,18.984479255342592,-178.4311675555065,-128.77154161629142,41.00044050585832,-6.760229949181763,-178.03974218819843,17.28862928669946,-14.07806618527033,-95.84041800713374
58,18.583490123269797,-181.25300936585748,-126.14796398187127,38.58692593407224,-8.268471857761321,-177.09432951997653,16.108161492747342,-18.396539318256572,-86.51313521853888
59,22.479631621568757,-179.23218056422735,-136.1269502008463,39.324866901727624,-8.269187875176803,-177.13325971253707,19.788719220847184,-15.88740557051824,-98.57005719837503
60,23.367847706307003,-178.26433412564262,-140.56188432747342,41.909463387517334,-5.667183475757281,-178.30133836120007,21.521061132224474,-13.426244096222888,-110.16007197860836
61,23.72321649912314,-180.59520013227157,-139.4583061243884,38.95061667892574,-6.5723851093663574,-177.14711788077366,20.093050020543444,-17.550264614861334,-100.69688673920302
62,26.514362494560118,-178.53309301474545,-147.10515466767822,40.51092102092684,-6.654894445283903,-177.75466667663162,24.114055428397933,-14.47558681099801,-112.77368334050652
63,28.42171696697244,-178.43866066569217,-151.27247784716428,40.108422002112086,-6.523148450656927,-177.52425701796298,25.42415751918128,-14.6365399845821,-115.78788066724815
64,27.63778934005029,-179.98503280604407,-148.6897336979497,39.857904379869204,-5.590402359759591,-178.81962739033636,27.83889418819882,-16.325188790436584,-112.43105538613077
65,30.61484884511023,-179.67557424098968,-154.13415139231734,39.24310325005035,-6.517422508126241,-177.29066712275883,27.252316397959646,-16.431432129607998,-116.19577792752864
66,31.299393207811562,-178.88041338433763,-158.78517159948228,39.33617265293573,-4.265523282820284,-179.07590538022018,31.50947823553517,-15.573359547268154,-120.96931816959761
67,33.485327637896944,-178.45714479101818,-162.7382458683212,40.39256910656545,-4.674566843778212,-177.83705888863568,30.16330482642229,-14.511882403856532,-127.95043414441909
68,36.958230429653696,-176.3287257253846,-170.53199169940478,41.53804031258943,-6.355856776499241,-178.5766730819657,36.39184727208067,-11.67312103873789,-139.10767317558543
69,35.272949220428416,-179.40613819248458,-164.6805079799758,40.83826649452114,-4.954696657862009,-177.7902755735006,31.866547101468598,-15.19497000209148,-131.17878555495292
70,38.10991289738976,-178.04148670575557,-171.60512765936357,39.784798406644775,-5.516751781660864,-177.64910643097474,34.94311951159449,-14.459356689125485,-135.13411316611257
71,39.29662820587623,-176.8949420063616,-176.86072399923228,38.86545456214178,-3.4635359407264446,-178.48060678092412,37.369931758450406,-13.92336696516449,-137.67105305542577
72,40.233545155814,-177.66563016646847,-176.21992202343733,39.58112919013937,-3.9908690431722698,-178.4109547842743,38.31410429236084,-14.212935628108795,-139.08760275552345
73,41.465921827516155,-176.84970521162086,-180.0570040832647,39.9312936890913,-3.1619202523667442,-178.52803032605846,39.28229104467076,-13.184284099221117,-143.88880772240145
